epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,4396.37,0.64959,0.36648,0.95282,0.99584,0.89286,0.90978,0.63987,1.00482,0.46187,1.17536,0.000210507,0.000210507,0.000210507
146,4425.6,0.65027,0.37026,0.962,0.99722,0.89286,0.90964,0.65159,0.94406,0.45737,1.14095,0.000203894,0.000203894,0.000203894
147,4454.9,0.66805,0.37972,0.96319,0.99128,0.90398,0.91121,0.63455,1.00351,0.4371,1.17633,0.00019737,0.00019737,0.00019737
148,4484.09,0.64893,0.36819,0.94672,0.99739,0.89286,0.90911,0.65698,0.93553,0.43736,1.14162,0.000190935,0.000190935,0.000190935
149,4513.8,0.62553,0.35931,0.94867,0.99168,0.90079,0.9108,0.6431,0.94754,0.4346,1.16754,0.000184592,0.000184592,0.000184592
150,4542.81,0.63863,0.36276,0.9483,0.9974,0.89195,0.90045,0.64935,0.97612,0.45184,1.15976,0.000178341,0.000178341,0.000178341
151,4571.7,0.62775,0.36396,0.94005,0.99845,0.89479,0.90917,0.65756,0.94289,0.45009,1.14539,0.000172185,0.000172185,0.000172185
152,4600.76,0.63824,0.35968,0.95167,0.99797,0.89514,0.91121,0.65113,0.935,0.40578,1.14312,0.000166125,0.000166125,0.000166125
153,4629.68,0.62908,0.35957,0.94438,0.99811,0.89274,0.90103,0.64745,0.9489,0.41126,1.15279,0.000160162,0.000160162,0.000160162
154,4658.92,0.63762,0.36405,0.94915,0.98816,0.90097,0.91167,0.65229,0.92765,0.44053,1.14681,0.000154299,0.000154299,0.000154299
155,4687.78,0.62833,0.36482,0.94844,0.99596,0.89394,0.91167,0.65305,0.9282,0.42778,1.14218,0.000148535,0.000148535,0.000148535
156,4716.7,0.61655,0.35674,0.94204,0.9971,0.89455,0.91167,0.66056,0.93502,0.44406,1.15438,0.000142874,0.000142874,0.000142874
157,4745.69,0.65135,0.36731,0.9552,0.98823,0.90131,0.91167,0.661,0.94132,0.43509,1.15684,0.000137315,0.000137315,0.000137315
158,4774.64,0.64275,0.35933,0.95821,0.98375,0.90268,0.90917,0.66818,0.91202,0.42131,1.13963,0.000131861,0.000131861,0.000131861
159,4803.53,0.6283,0.36536,0.95722,0.99591,0.89286,0.90978,0.65529,0.91091,0.42843,1.14855,0.000126513,0.000126513,0.000126513
